date,minTemp,maxTemp,precip
1949-09-21,282.75,291.55,1.70
1949-09-22,284.35,294.25,0.40
1949-09-23,283.75,295.15,0.00
1949-09-24,282.75,296.15,0.00
1949-09-25,283.75,298.05,0.00
1949-09-26,282.75,296.15,0.00
1949-09-27,282.75,296.15,0.00
1949-09-28,281.75,295.15,0.00
1949-09-29,280.65,294.25,0.00
1949-09-30,280.65,291.65,0.00
1949-10-01,282.55,287.95,18.10
1949-10-02,284.45,287.05,0.00
1949-10-03,280.35,291.55,0.00
1949-10-04,279.65,292.45,0.00
1949-10-05,279.25,293.35,0.00
1949-10-06,281.55,293.35,0.00
1949-10-07,283.75,292.45,0.00
1949-10-08,279.65,293.35,0.00
1949-10-09,279.65,288.85,35.50
1949-10-10,282.75,288.85,0.00
1949-10-11,280.15,290.65,0.00
1949-10-12,278.65,291.55,0.00
1949-10-13,278.65,291.55,0.00
1949-10-14,278.65,291.55,0.00
1949-10-15,277.55,291.55,0.00
1949-10-16,277.55,289.75,0.00
1949-10-17,277.55,291.55,9.40
1949-10-18,279.35,287.05,0.00
1949-10-19,276.45,286.15,0.00
1949-10-20,278.65,290.65,0.00
1949-10-21,276.45,287.95,0.00
1949-10-22,277.55,282.55,0.00
1949-10-23,275.95,286.15,0.00
1949-10-24,276.45,289.75,0.00
1949-10-25,281.75,289.75,0.00
1949-10-26,282.55,293.35,1.80
1949-10-27,275.45,286.15,15.60
1949-10-28,272.35,276.25,2.10
1949-10-29,273.35,279.75,0.00
1949-10-30,275.45,279.75,0.00
1949-10-31,275.45,277.95,0.00
1949-11-01,274.35,277.95,0.00
1949-11-02,273.15,276.05,0.00
1949-11-03,272.35,276.05,0.00
1949-11-04,270.25,278.85,0.00
1949-11-05,267.95,279.75,0.00
1949-11-06,270.25,276.95,2.00
1949-11-07,272.15,276.95,6.40
1949-11-08,272.35,278.85,1.70
1949-11-09,271.15,277.95,1.30
1949-11-10,270.25,278.85,0.00
1949-11-11,274.35,279.95,0.00
1949-11-12,275.35,284.35,1.00
1949-11-13,273.35,280.65,0.80
1949-11-14,272.35,276.95,22.00
1949-11-15,272.35,275.05,0.30
1949-11-16,272.35,277.95,0.00
1949-11-17,269.75,275.05,0.00
1949-11-18,267.65,276.95,0.00
1949-11-19,269.15,282.55,0.00
1949-11-20,281.75,287.95,0.00
